date,store_id,store_region,sku_id,category,units_sold,revenue,promo_flag,promo_type,price,inventory_level,store_size,holiday_flag
2022-06-08,5,East,133,Beverages,5,24.95,0,,4.99,393,Small,0
2022-07-11,5,North,121,Snacks,10,98.6,0,,9.86,896,Medium,0
2022-10-05,9,North,121,Beverages,9,27.18,0,,3.02,803,Medium,0
2022-08-07,8,South,120,Snacks,20,50.8,1,BuyOneGetOne,2.54,502,Large,1
2022-08-22,3,South,148,Snacks,12,45.6,0,,3.8,395,Small,0
2022-07-27,8,East,109,Dairy,20,32.2,1,Discount,1.61,932,Medium,0
2022-07-19,7,South,125,Dairy,10,90.4,0,,9.04,325,Large,0
2022-10-04,8,East,148,Household,5,25.6,0,,5.12,550,Small,0
2022-04-04,8,North,137,Beverages,12,63.96,0,,5.33,218,Small,0
2022-02-19,2,South,140,Dairy,10,79.6,0,,7.96,353,Large,1
2022-06-30,5,North,140,Snacks,11,29.26,0,,2.66,765,Small,0
2022-09-03,2,North,123,Beverages,13,50.18,0,,3.86,840,Large,1
2022-04-12,4,South,137,Household,7,67.41,0,,9.63,516,Medium,0
2022-02-17,7,North,109,Beverages,12,59.64,0,,4.97,681,Medium,0
2022-01-07,7,North,137,Personal Care,15,141.9,0,,9.46,633,Small,0
2022-09-11,8,East,136,Personal Care,21,139.86,1,BuyOneGetOne,6.66,936,Large,1
2022-05-05,10,South,107,Household,13,99.84,1,BuyOneGetOne,7.68,474,Large,0
2022-05-07,6,South,134,Personal Care,11,71.94,0,,6.54,937,Medium,1
2022-03-06,3,South,128,Beverages,14,40.18,0,,2.87,441,Medium,1
2022-05-31,9,North,103,Snacks,10,92.8,0,,9.28,532,Large,0
2022-01-28,3,South,129,Dairy,9,73.53,0,,8.17,615,Medium,0
2022-03-05,9,East,147,Dairy,11,42.24,0,,3.84,201,Small,1
2022-10-17,6,East,140,Beverages,15,127.2,0,,8.48,579,Medium,0
2022-12-20,7,East,120,Snacks,14,51.8,0,,3.7,177,Medium,0
2022-01-04,8,East,136,Beverages,15,139.95,0,,9.33,111,Large,0
2022-08-16,8,South,148,Beverages,6,26.88,0,,4.48,369,Medium,0
2022-12-04,8,East,108,Personal Care,13,41.34,0,,3.18,965,Medium,1
2022-11-19,4,North,119,Household,6,43.74,0,,7.29,460,Medium,1
2022-01-17,6,East,122,Snacks,24,175.2,1,Discount,7.3,526,Medium,0
2022-05-27,6,South,119,Household,14,91.84,0,,6.56,763,Medium,0
2022-04-11,9,North,132,Snacks,9,75.87,0,,8.43,110,Medium,0
2022-05-04,6,North,130,Personal Care,26,88.92,1,FlashSale,3.42,902,Small,0
2022-02-25,4,East,148,Dairy,14,118.3,0,,8.45,720,Small,0
2022-08-16,4,South,150,Household,6,32.88,0,,5.48,398,Small,0
2022-04-13,4,South,113,Personal Care,20,122.6,1,Discount,6.13,853,Large,0
2022-10-19,10,South,144,Beverages,11,79.75,0,,7.25,886,Small,0
2022-01-31,2,South,139,Beverages,24,182.88,1,FlashSale,7.62,912,Medium,0
2022-11-22,8,South,121,Beverages,6,38.52,0,,6.42,722,Large,0
2022-11-08,6,South,104,Household,6,28.98,0,,4.83,426,Large,0
2022-04-01,9,North,128,Dairy,18,121.14,1,FlashSale,6.73,899,Small,0
2022-01-09,2,East,144,Personal Care,11,36.52,0,,3.32,906,Small,1
2022-07-21,10,North,135,Beverages,14,97.02,0,,6.93,799,Small,0
2022-12-29,10,South,112,Dairy,13,109.59,0,,8.43,582,Large,0
2022-05-27,9,South,121,Personal Care,13,99.32,1,Discount,7.64,399,Medium,0
2022-05-20,2,North,145,Dairy,23,164.91,1,Discount,7.17,795,Large,0
2022-06-02,10,North,144,Household,6,44.1,0,,7.35,498,Medium,0
2022-07-18,3,North,108,Beverages,22,167.86,1,Discount,7.63,260,Large,0
2022-02-09,7,East,109,Household,12,106.56,0,,8.88,915,Small,0
2022-09-30,1,South,111,Snacks,8,60.4,0,,7.55,899,Large,0
2022-02-21,9,North,143,Snacks,11,68.09,0,,6.19,319,Small,0
2022-04-16,2,North,142,Household,18,137.88,1,Discount,7.66,948,Large,1
2022-10-06,9,North,117,Snacks,22,153.56,1,FlashSale,6.98,168,Large,0
2022-07-20,2,North,144,Snacks,25,110.75,1,Discount,4.43,889,Small,0
2022-10-13,2,East,138,Dairy,5,22.3,0,,4.46,841,Medium,0
2022-07-01,9,North,138,Personal Care,10,44.8,0,,4.48,286,Medium,0
2022-06-15,10,South,114,Beverages,12,60.84,0,,5.07,995,Large,0
2022-08-17,6,North,129,Household,9,59.31,0,,6.59,820,Large,0
2022-06-28,3,North,118,Beverages,34,228.48,1,Discount,6.72,929,Small,0
2022-07-29,4,East,128,Beverages,24,68.64,1,FlashSale,2.86,132,Medium,0
2022-05-16,2,East,134,Personal Care,20,68.4,1,Discount,3.42,330,Medium,0
2022-01-06,1,North,105,Household,21,127.89,1,FlashSale,6.09,104,Large,0
2022-01-16,5,North,139,Personal Care,8,72.96,0,,9.12,882,Large,1
2022-06-13,4,East,126,Snacks,15,96.9,0,,6.46,859,Large,0
2022-03-17,9,South,139,Personal Care,5,17.8,0,,3.56,987,Small,0
2022-05-21,6,East,111,Household,16,60.64,0,,3.79,559,Large,1
2022-12-23,7,South,123,Snacks,10,89.6,0,,8.96,709,Medium,0
2022-01-08,9,North,127,Dairy,9,29.34,0,,3.26,475,Medium,1
2022-10-17,10,East,122,Beverages,8,17.04,0,,2.13,184,Medium,0
2022-05-05,4,North,127,Household,13,62.53,0,,4.81,251,Small,0
2022-02-26,9,East,145,Personal Care,20,46.8,1,Discount,2.34,724,Medium,1
2022-04-27,8,North,102,Personal Care,13,92.3,0,,7.1,684,Small,0
2022-02-22,5,North,111,Household,15,106.95,0,,7.13,692,Medium,0
2022-04-23,4,East,124,Personal Care,10,84.6,0,,8.46,617,Small,1
2022-08-29,1,South,144,Household,19,150.1,1,Discount,7.9,516,Medium,0
2022-06-23,8,South,110,Beverages,11,96.25,0,,8.75,893,Small,0
2022-03-27,7,North,108,Snacks,9,49.59,0,,5.51,293,Large,1
2022-03-18,4,East,118,Personal Care,19,109.06,1,BuyOneGetOne,5.74,169,Medium,0
2022-10-07,1,North,134,Snacks,6,21.24,0,,3.54,205,Large,0
2022-05-22,7,South,124,Dairy,11,46.42,0,,4.22,894,Small,1
2022-02-28,7,East,136,Household,7,62.44,0,,8.92,486,Small,0
2022-05-20,9,East,116,Household,10,51.3,0,,5.13,582,Small,0
2022-08-01,1,South,137,Personal Care,5,11.3,0,,2.26,195,Medium,0
2022-03-18,2,East,140,Dairy,10,32.0,1,FlashSale,3.2,115,Medium,0
2022-09-26,1,East,150,Household,8,59.52,0,,7.44,438,Medium,0
2022-02-09,10,South,131,Beverages,8,19.52,0,,2.44,825,Medium,0
2022-07-27,9,South,145,Dairy,8,54.56,0,,6.82,911,Medium,0
2022-09-10,3,East,144,Beverages,20,126.8,1,Discount,6.34,256,Medium,1
2022-11-19,2,North,103,Dairy,11,81.07,0,,7.37,177,Large,1
2022-12-28,8,East,117,Dairy,10,20.8,0,,2.08,976,Medium,0
2022-03-22,2,South,137,Personal Care,15,56.55,0,,3.77,996,Medium,0
2022-05-10,5,North,107,Dairy,25,117.5,1,Discount,4.7,233,Medium,0
2022-01-03,2,East,121,Household,14,125.72,0,,8.98,415,Large,0
2022-10-10,7,North,140,Beverages,10,28.6,0,,2.86,732,Small,0
2022-10-26,4,East,109,Household,5,29.8,0,,5.96,800,Large,0
2022-02-19,9,East,127,Dairy,13,27.95,0,,2.15,268,Small,1
2022-09-16,2,South,112,Household,22,88.66,1,FlashSale,4.03,236,Medium,0
2022-12-03,5,South,121,Dairy,17,123.76,0,,7.28,230,Small,1
2022-10-05,8,East,149,Personal Care,7,65.73,0,,9.39,650,Large,0
2022-04-13,1,South,114,Dairy,11,85.69,0,,7.79,318,Small,0
2022-01-11,2,North,124,Dairy,4,29.68,0,,7.42,820,Large,0
2022-02-24,4,South,143,Snacks,10,35.1,0,,3.51,753,Medium,0
2022-09-30,6,North,119,Dairy,6,20.34,0,,3.39,304,Medium,0
2022-03-11,7,East,109,Household,11,33.77,0,,3.07,312,Small,0
2022-06-01,7,South,139,Beverages,17,115.26,1,FlashSale,6.78,872,Large,0
2022-01-23,6,South,107,Snacks,16,42.4,0,,2.65,931,Medium,1
2022-03-08,3,North,143,Dairy,12,41.28,0,,3.44,951,Small,0
2022-09-09,9,South,117,Dairy,6,26.82,0,,4.47,659,Small,0
2022-07-29,8,South,111,Household,13,91.91,0,,7.07,485,Small,0
2022-09-20,9,North,123,Household,5,14.5,0,,2.9,159,Large,0
2022-09-23,4,North,101,Beverages,12,97.44,0,,8.12,381,Medium,0
2022-04-24,4,South,124,Household,8,41.52,0,,5.19,896,Small,1
2022-07-01,4,South,144,Dairy,17,141.44,0,,8.32,586,Small,0
2022-08-18,10,East,147,Personal Care,11,105.71,0,,9.61,692,Small,0
2022-12-22,6,North,122,Personal Care,5,48.35,0,,9.67,398,Small,0
2022-08-07,2,East,134,Personal Care,10,31.7,0,,3.17,385,Small,1
2022-06-21,6,South,107,Beverages,22,175.12,1,Discount,7.96,123,Small,0
2022-04-01,9,North,136,Dairy,9,73.17,0,,8.13,242,Large,0
2022-08-15,4,East,136,Household,9,26.91,0,,2.99,936,Medium,0
2022-06-10,2,East,103,Beverages,10,60.0,0,,6.0,345,Medium,0
2022-09-02,2,South,138,Personal Care,5,30.5,0,,6.1,486,Small,0
2022-03-24,6,East,150,Beverages,11,90.2,0,,8.2,438,Medium,0
2022-11-18,5,North,146,Snacks,8,30.96,0,,3.87,310,Small,0
2022-04-13,7,East,122,Household,2,15.24,0,,7.62,871,Large,0
2022-06-27,3,South,117,Household,25,68.0,1,BuyOneGetOne,2.72,463,Large,0
2022-03-23,5,East,109,Beverages,8,25.76,0,,3.22,182,Medium,0
2022-03-02,5,North,105,Household,12,34.32,0,,2.86,879,Small,0
2022-12-26,1,South,127,Snacks,14,35.56,1,FlashSale,2.54,581,Large,0
2022-01-14,9,South,104,Personal Care,3,18.24,0,,6.08,500,Medium,0
2022-11-22,4,East,148,Beverages,13,110.11,0,,8.47,544,Small,0
2022-07-11,9,South,146,Snacks,11,106.15,0,,9.65,505,Large,0
2022-03-15,7,North,149,Personal Care,15,49.8,0,,3.32,838,Small,0
2022-11-01,2,South,124,Snacks,6,54.18,0,,9.03,958,Medium,0
2022-03-16,3,North,117,Personal Care,7,60.41,0,,8.63,350,Large,0
2022-01-06,10,North,127,Dairy,10,30.9,0,,3.09,739,Medium,0
2022-05-20,1,South,121,Beverages,12,41.52,0,,3.46,522,Small,0
2022-07-08,8,East,123,Beverages,26,189.8,1,Discount,7.3,663,Large,0
2022-12-14,1,South,121,Household,7,44.66,0,,6.38,636,Small,0
2022-10-07,7,South,130,Beverages,12,94.56,0,,7.88,824,Large,0
2022-01-06,5,North,141,Beverages,9,23.4,0,,2.6,925,Small,0
2022-08-14,5,East,116,Dairy,12,47.52,0,,3.96,957,Large,1
2022-10-06,8,North,119,Household,7,16.8,0,,2.4,501,Small,0
2022-11-17,5,East,132,Beverages,14,83.02,1,BuyOneGetOne,5.93,551,Medium,0
2022-11-23,2,North,128,Household,15,66.0,1,FlashSale,4.4,889,Medium,0
2022-06-10,2,North,111,Personal Care,16,57.28,1,Discount,3.58,330,Large,0
2022-08-26,2,North,123,Dairy,17,79.05,1,BuyOneGetOne,4.65,775,Large,0
2022-01-08,7,East,150,Dairy,9,81.45,0,,9.05,120,Medium,1
2022-01-19,8,South,108,Personal Care,11,58.52,0,,5.32,417,Small,0
2022-10-09,8,North,121,Snacks,13,72.93,0,,5.61,372,Small,1
2022-12-29,3,East,137,Snacks,18,33.48,1,FlashSale,1.86,772,Medium,0
2022-03-20,4,East,115,Beverages,6,43.32,0,,7.22,147,Large,1
2022-08-01,4,East,136,Dairy,5,45.85,0,,9.17,577,Small,0
2022-04-27,9,South,132,Snacks,6,44.28,0,,7.38,999,Large,0
2022-09-28,3,North,130,Household,14,71.68,0,,5.12,865,Large,0
2022-12-07,9,North,140,Snacks,9,84.6,0,,9.4,597,Large,0
2022-06-02,4,North,135,Snacks,7,55.79,0,,7.97,766,Medium,0
2022-05-14,5,North,109,Personal Care,14,69.3,1,Discount,4.95,773,Large,1
2022-02-26,4,East,148,Dairy,11,75.79,0,,6.89,977,Large,1
2022-04-20,6,East,123,Beverages,12,74.88,0,,6.24,560,Large,0
2022-11-06,2,East,150,Dairy,22,74.8,1,BuyOneGetOne,3.4,661,Large,1
2022-05-10,5,South,143,Beverages,12,106.08,0,,8.84,229,Large,0
2022-12-05,5,East,107,Personal Care,14,51.24,0,,3.66,302,Large,0
2022-04-06,1,South,139,Personal Care,5,26.65,0,,5.33,311,Small,0
2022-04-09,10,East,133,Snacks,7,57.47,0,,8.21,156,Small,1
2022-02-08,6,South,131,Personal Care,10,98.3,0,,9.83,720,Medium,0
2022-02-04,9,South,112,Dairy,7,37.59,0,,5.37,859,Small,0
2022-02-28,10,East,120,Household,13,34.06,1,BuyOneGetOne,2.62,680,Medium,0
2022-12-04,5,South,137,Beverages,10,33.8,0,,3.38,743,Large,1
2022-04-11,6,South,145,Snacks,10,97.3,0,,9.73,785,Medium,0
2022-10-23,5,East,120,Household,13,74.23,0,,5.71,998,Medium,1
2022-02-06,10,East,117,Snacks,15,148.5,0,,9.9,187,Large,1
2022-01-23,8,South,141,Snacks,24,129.84,1,Discount,5.41,884,Medium,1
2022-04-28,6,South,116,Personal Care,14,101.92,0,,7.28,606,Small,0
2022-06-21,7,North,125,Dairy,6,34.32,0,,5.72,885,Small,0
2022-05-03,7,East,149,Snacks,12,71.16,0,,5.93,804,Small,0
2022-04-11,4,North,138,Personal Care,11,58.3,0,,5.3,435,Medium,0
2022-09-19,10,East,104,Household,19,130.53,1,FlashSale,6.87,116,Small,0
2022-05-08,1,South,136,Personal Care,9,23.31,0,,2.59,568,Small,1
2022-03-17,10,South,139,Personal Care,11,60.17,0,,5.47,891,Medium,0
2022-05-21,6,East,132,Beverages,17,167.96,0,,9.88,490,Large,1
2022-02-17,7,South,123,Dairy,18,96.84,1,BuyOneGetOne,5.38,761,Small,0
2022-09-27,2,South,149,Snacks,11,69.3,0,,6.3,928,Large,0
2022-02-24,1,South,109,Beverages,5,32.55,0,,6.51,722,Small,0
2022-05-22,1,East,147,Household,8,21.52,0,,2.69,817,Small,1
2022-10-24,2,East,133,Snacks,12,42.48,0,,3.54,909,Small,0
2022-10-28,1,North,118,Beverages,8,21.2,0,,2.65,300,Small,0
2022-05-21,6,East,127,Snacks,13,110.24,0,,8.48,907,Medium,1
2022-08-17,1,South,101,Dairy,11,24.64,0,,2.24,806,Medium,0
2022-08-28,7,East,150,Household,10,90.3,0,,9.03,887,Small,1
2022-06-28,10,North,147,Household,14,38.08,1,BuyOneGetOne,2.72,899,Medium,0
2022-09-30,6,East,141,Beverages,17,85.68,1,FlashSale,5.04,406,Large,0
2022-05-31,9,East,141,Beverages,7,41.44,0,,5.92,191,Large,0
2022-01-07,10,South,103,Personal Care,8,59.68,0,,7.46,636,Small,0
2022-07-26,8,South,112,Beverages,7,34.51,0,,4.93,208,Medium,0
2022-07-24,6,North,129,Household,12,109.08,0,,9.09,952,Small,1
2022-03-29,5,South,132,Household,14,130.9,0,,9.35,775,Small,0
2022-06-23,2,East,120,Household,8,21.28,0,,2.66,975,Large,0
2022-09-15,6,South,130,Snacks,10,98.0,0,,9.8,802,Large,0
2022-11-14,10,East,119,Snacks,25,74.75,1,Discount,2.99,210,Medium,0
2022-12-25,3,South,148,Personal Care,10,78.0,0,,7.8,560,Medium,1
2022-05-12,3,North,120,Dairy,11,83.16,0,,7.56,716,Medium,0
2022-01-29,10,North,125,Dairy,8,47.6,0,,5.95,805,Large,1
2022-12-12,5,North,150,Household,16,45.92,0,,2.87,167,Medium,0
2022-01-28,9,South,104,Personal Care,8,68.88,0,,8.61,223,Medium,0
2022-03-13,3,East,102,Personal Care,16,38.08,1,FlashSale,2.38,495,Medium,1
2022-06-03,5,South,116,Dairy,11,94.71,0,,8.61,613,Medium,0
2022-07-10,2,East,130,Dairy,17,135.15,1,Discount,7.95,106,Large,1
2022-02-26,2,North,111,Beverages,10,37.9,1,FlashSale,3.79,893,Small,1
2022-12-22,2,East,105,Dairy,8,71.84,0,,8.98,122,Large,0
2022-04-01,7,North,129,Snacks,5,29.85,0,,5.97,602,Large,0
2022-12-02,2,South,137,Snacks,14,55.3,0,,3.95,550,Small,0
2022-08-30,1,East,146,Snacks,17,104.38,1,FlashSale,6.14,602,Small,0
2022-04-17,3,North,149,Beverages,13,115.57,0,,8.89,490,Medium,1
2022-07-25,9,East,142,Dairy,14,39.76,1,Discount,2.84,856,Small,0
2022-05-30,1,South,114,Beverages,10,68.1,0,,6.81,108,Large,0
2022-12-09,6,South,146,Dairy,23,72.22,1,FlashSale,3.14,162,Large,0
2022-09-10,6,South,110,Snacks,9,65.52,0,,7.28,734,Large,1
2022-05-13,7,East,117,Snacks,11,29.48,0,,2.68,642,Large,0
2022-03-23,9,North,120,Dairy,12,28.2,0,,2.35,182,Small,0
2022-11-02,7,South,140,Beverages,6,58.98,0,,9.83,261,Small,0
2022-07-24,1,North,118,Dairy,3,25.53,0,,8.51,674,Small,1
2022-05-21,10,East,135,Dairy,7,36.33,0,,5.19,119,Large,1
2022-06-24,4,North,123,Snacks,8,40.56,0,,5.07,963,Medium,0
2022-08-17,3,East,112,Dairy,11,104.28,0,,9.48,384,Small,0
2022-03-22,9,South,149,Personal Care,9,42.03,0,,4.67,410,Large,0
2022-05-04,2,East,107,Personal Care,5,33.15,0,,6.63,905,Small,0
2022-01-09,9,North,149,Household,9,89.19,0,,9.91,994,Small,1
2022-05-07,10,South,128,Dairy,4,37.6,0,,9.4,648,Large,1
2022-09-12,8,South,119,Personal Care,4,33.64,0,,8.41,459,Large,0
2022-08-27,5,East,144,Household,17,41.31,1,FlashSale,2.43,974,Medium,1
2022-09-11,8,North,142,Household,11,59.29,0,,5.39,836,Medium,1
2022-10-11,3,South,109,Personal Care,16,100.32,1,FlashSale,6.27,188,Small,0
2022-03-02,10,North,150,Household,3,19.44,0,,6.48,548,Small,0
2022-10-25,9,South,102,Snacks,10,32.2,0,,3.22,920,Small,0
2022-08-25,2,North,135,Household,12,31.2,0,,2.6,876,Small,0
2022-03-17,3,East,109,Household,10,92.4,0,,9.24,514,Small,0
2022-10-02,4,East,109,Household,27,44.01,1,BuyOneGetOne,1.63,259,Large,1
2022-03-11,5,East,108,Snacks,9,67.59,0,,7.51,970,Medium,0
2022-12-13,7,South,121,Household,12,63.48,0,,5.29,396,Small,0
2022-02-06,9,South,110,Personal Care,10,71.7,0,,7.17,685,Medium,1
2022-05-05,7,East,127,Snacks,9,63.0,0,,7.0,483,Large,0
2022-12-17,10,South,133,Household,7,22.4,0,,3.2,523,Small,1
2022-09-20,6,North,131,Dairy,7,21.91,0,,3.13,339,Small,0
2022-03-11,8,South,127,Dairy,8,78.88,0,,9.86,842,Medium,0
2022-10-15,2,South,103,Beverages,13,73.58,0,,5.66,505,Medium,1
2022-11-26,6,South,137,Personal Care,17,121.89,1,FlashSale,7.17,834,Medium,1
2022-02-26,8,South,114,Dairy,10,85.1,0,,8.51,625,Medium,1
2022-01-07,8,North,115,Beverages,11,89.21,0,,8.11,972,Small,0
2022-08-23,7,North,140,Household,4,26.96,0,,6.74,618,Small,0
2022-07-27,8,North,146,Dairy,9,69.48,0,,7.72,118,Large,0
2022-05-23,9,East,142,Beverages,7,52.57,0,,7.51,333,Medium,0
2022-06-07,10,East,128,Dairy,7,46.55,0,,6.65,619,Large,0
2022-12-25,8,South,101,Snacks,17,154.53,0,,9.09,785,Large,1
2022-08-03,8,North,148,Household,29,165.59,1,BuyOneGetOne,5.71,710,Large,0
2022-09-06,9,North,141,Dairy,13,76.7,0,,5.9,350,Medium,0
2022-05-23,4,South,124,Beverages,9,35.28,0,,3.92,335,Small,0
2022-09-08,1,South,113,Dairy,6,41.82,0,,6.97,256,Small,0
2022-02-24,2,South,149,Snacks,21,67.83,1,BuyOneGetOne,3.23,256,Medium,0
2022-07-15,5,East,150,Dairy,8,19.12,0,,2.39,271,Large,0
2022-02-14,4,East,144,Beverages,6,31.32,0,,5.22,654,Medium,0
2022-09-06,3,North,133,Beverages,15,92.1,0,,6.14,310,Small,0
2022-05-08,10,South,116,Dairy,10,67.3,0,,6.73,280,Small,1
2022-10-24,9,South,101,Dairy,9,71.19,0,,7.91,828,Large,0
2022-03-16,2,South,113,Household,13,36.92,0,,2.84,488,Large,0
2022-12-15,5,South,121,Dairy,8,79.44,0,,9.93,227,Small,0
2022-07-09,5,East,142,Dairy,10,73.0,0,,7.3,189,Medium,1
2022-04-02,6,South,110,Household,13,26.91,1,Discount,2.07,837,Medium,1
2022-05-04,10,South,147,Beverages,12,87.24,0,,7.27,665,Small,0
2022-01-03,4,East,144,Personal Care,9,33.12,0,,3.68,473,Small,0
2022-02-09,1,South,125,Household,8,42.16,0,,5.27,280,Large,0
2022-01-17,1,North,108,Dairy,8,52.56,0,,6.57,900,Small,0
2022-09-10,6,South,131,Dairy,9,83.79,0,,9.31,504,Large,1
2022-08-05,6,East,150,Dairy,6,31.5,0,,5.25,123,Medium,0
2022-11-16,2,North,102,Beverages,12,118.08,0,,9.84,793,Large,0
2022-01-04,10,South,109,Personal Care,16,109.6,0,,6.85,296,Large,0
2022-05-31,7,South,133,Dairy,6,24.0,0,,4.0,429,Small,0
2022-07-09,2,North,122,Personal Care,23,106.26,1,FlashSale,4.62,910,Medium,1
2022-11-30,6,South,140,Personal Care,12,37.92,0,,3.16,908,Medium,0
2022-01-26,5,North,147,Beverages,23,162.61,1,BuyOneGetOne,7.07,186,Large,0
2022-10-24,10,North,109,Personal Care,11,99.11,0,,9.01,464,Medium,0
2022-06-22,8,East,122,Snacks,10,26.1,0,,2.61,397,Medium,0
2022-10-11,7,East,133,Dairy,7,24.43,0,,3.49,709,Medium,0
2022-09-13,4,North,129,Beverages,9,34.2,0,,3.8,507,Small,0
2022-04-18,7,South,102,Household,20,117.2,1,FlashSale,5.86,278,Small,0
2022-08-08,1,North,128,Household,11,106.81,0,,9.71,420,Medium,0
2022-12-03,5,North,150,Personal Care,17,166.77,0,,9.81,494,Medium,1
2022-01-22,2,East,118,Household,20,75.6,1,Discount,3.78,733,Medium,1
2022-10-11,6,South,119,Household,11,90.31,0,,8.21,828,Large,0
2022-06-16,9,North,125,Dairy,10,74.8,0,,7.48,785,Large,0
2022-01-21,6,North,143,Snacks,29,116.87,1,FlashSale,4.03,679,Large,0
2022-02-16,7,South,148,Dairy,11,48.07,0,,4.37,461,Medium,0
2022-09-01,8,North,127,Dairy,12,92.04,0,,7.67,753,Medium,0
2022-11-15,6,East,138,Dairy,9,55.08,0,,6.12,156,Small,0
2022-01-01,4,East,145,Snacks,25,133.5,1,Discount,5.34,961,Small,1
2022-05-19,9,South,131,Personal Care,14,37.38,0,,2.67,519,Large,0
2022-08-12,6,North,140,Household,12,38.76,0,,3.23,299,Large,0
2022-04-27,1,North,110,Household,15,70.8,1,FlashSale,4.72,588,Small,0
2022-12-07,4,North,132,Household,13,111.93,0,,8.61,382,Large,0
2022-09-03,2,East,123,Dairy,23,166.75,1,Discount,7.25,765,Medium,1
2022-09-17,9,East,131,Snacks,24,179.76,1,FlashSale,7.49,656,Large,1
2022-02-05,10,South,145,Dairy,9,54.36,0,,6.04,800,Small,1
2022-07-22,2,North,144,Dairy,12,49.68,0,,4.14,294,Small,0
2022-12-16,8,East,145,Dairy,6,15.84,0,,2.64,317,Large,0
2022-10-05,5,East,101,Beverages,12,36.84,0,,3.07,291,Large,0
2022-05-10,4,East,104,Snacks,11,33.99,0,,3.09,695,Medium,0
2022-10-14,2,South,121,Beverages,30,138.6,1,BuyOneGetOne,4.62,675,Medium,0
2022-07-20,10,East,132,Snacks,4,29.36,0,,7.34,636,Medium,0
2022-02-08,5,South,117,Dairy,8,55.2,0,,6.9,645,Small,0
2022-10-22,1,North,102,Snacks,10,64.0,0,,6.4,841,Small,1
2022-04-19,10,East,131,Household,11,66.88,0,,6.08,323,Large,0
2022-04-20,6,East,138,Household,5,24.65,0,,4.93,282,Medium,0
2022-05-12,2,South,110,Household,20,141.2,1,BuyOneGetOne,7.06,671,Small,0
2022-10-05,5,North,112,Beverages,20,99.6,1,FlashSale,4.98,468,Small,0
2022-06-16,7,East,124,Household,11,94.82,0,,8.62,379,Small,0
2022-05-17,1,East,119,Dairy,25,90.75,1,Discount,3.63,303,Small,0
2022-09-12,9,East,110,Personal Care,12,104.76,0,,8.73,272,Medium,0
2022-09-17,6,South,113,Household,11,52.03,0,,4.73,722,Medium,1
2022-03-03,10,East,149,Household,14,123.9,0,,8.85,569,Large,0
2022-07-24,7,North,121,Personal Care,14,57.12,0,,4.08,848,Small,1
2022-12-09,8,North,131,Beverages,17,92.14,1,BuyOneGetOne,5.42,789,Small,0
2022-04-19,6,East,132,Dairy,19,87.02,0,,4.58,231,Small,0
2022-08-08,1,East,150,Dairy,6,54.66,0,,9.11,282,Large,0
2022-12-06,7,South,130,Personal Care,10,86.4,0,,8.64,375,Medium,0
2022-02-08,8,East,131,Snacks,12,118.92,0,,9.91,969,Medium,0
2022-04-18,10,East,111,Personal Care,8,45.12,0,,5.64,715,Large,0
2022-08-17,9,South,112,Personal Care,10,62.1,0,,6.21,453,Medium,0
2022-05-20,3,South,127,Household,3,10.83,0,,3.61,955,Medium,0
2022-02-13,7,North,107,Beverages,11,100.87,0,,9.17,449,Large,1
2022-05-23,3,East,135,Snacks,11,99.99,0,,9.09,139,Small,0
